2017Q1,-10.8,-11.39,-13.24,-12.7,-12.58,-12.55,-12.44,14.95,33.01,35.31,35.38,35.23,35.27,35.2
2017Q2,-8.58,-10.52,-12.69,-11.97,-24.37,-24.37,-24.26,-3.59,-4.92,-8.83,-7.8,-8.63,-8.6,-8.57
2017Q3,17.89,15.8,17.78,16.72,35.73,35.69,35.55,-3.19,-4.67,-7.72,-7.14,-7.07,-7.06,-6.97
2017Q4,10.1,10.22,11.05,11.1,10.4,10.41,10.37,5.85,1.2,-0.92,-0.33,-0.92,-0.91,-0.78
2018Q1,-10.62,-10.01,-11.08,-10.5,-9.59,-9.57,-9.66,6.06,2.77,1.55,2.17,2.47,2.46,2.37
2018Q2,-5.97,-10.67,-12.81,-12.36,-19.48,-19.48,-19.36,9.08,2.6,1.41,1.71,9.09,9.08,8.98
2018Q3,11.6,10.61,12.81,12.91,23.25,23.21,23.3,3.27,-2,-2.87,-1.61,-0.95,-0.95,-0.86
2018Q4,11.3,11.96,12.47,12.32,12.24,12.25,12.21,4.4,-0.45,-1.63,-0.53,0.7,0.7,0.78
2019Q1,-24.52,-34.58,-40.01,-38.62,-38.62,-38.6,-38.6,-11.84,-27.63,-33.63,-31.78,-31.63,-31.62,-31.5
2019Q2,10.19,14.8,18.73,18.13,8.78,8.75,8.44,3.31,-6.99,-9.62,-8.04,-7.63,-7.64,-7.89
